Acession;Virus;Genotype;Country;Date;Size
AB622046;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622047;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622048;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622049;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622050;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622051;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622052;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622053;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622054;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622055;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622056;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622057;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622058;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622059;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622060;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622061;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622062;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622063;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622064;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622065;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622066;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622067;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622068;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622069;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622070;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622071;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622072;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622073;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622074;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622075;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622076;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622077;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622078;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622079;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB693936;Dengue Serotype 2;Could not assign;India;2009;530
AF004019;Dengue Serotype 2;Genotype II - Cosmopolitan;Australia;1996;1734
AF004020;Dengue Serotype 2;Genotype II - Cosmopolitan;Cook Islands;1997;1730
AF013769;Dengue Serotype 2;Could not assign;Australia;1940;451
AF013770;Dengue Serotype 2;Could not assign;Australia;1940;451
AF013771;Dengue Serotype 2;Could not assign;Australia;1940;451
AF013772;Dengue Serotype 2;Could not assign;Australia;1940;451
AF013773;Dengue Serotype 2;Could not assign;Australia;1940;451
AF013774;Dengue Serotype 2;Could not assign;Australia;1940;451
AF022434;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10724
AF022435;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF022436;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF022437;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF022438;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF022439;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF022440;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF022441;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF047393;Dengue Serotype 2;Could not assign;India;1996;367
AF047394;Dengue Serotype 2;Could not assign;India;1996;406
AF047395;Dengue Serotype 2;Could not assign;India;1996;376
AF047396;Dengue Serotype 2;Could not assign;India;1996;405
AF047397;Dengue Serotype 2;Could not assign;India;1996;406
AF047398;Dengue Serotype 2;Could not assign;India;1996;403
AF047399;Dengue Serotype 2;Could not assign;India;1996;406
AF047400;Dengue Serotype 2;Could not assign;India;1996;406
AF047401;Dengue Serotype 2;Could not assign;India;1996;366
AF093674;Dengue Serotype 2;Genotype I - American;Peru;1940;1599
AF100459;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;10685
AF100460;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;10685
AF100461;Dengue Serotype 2;Genotype V - Asian I;Thailand;1995;10685
AF100462;Dengue Serotype 2;Genotype V - Asian I;Thailand;1995;10684
AF100463;Dengue Serotype 2;Genotype V - Asian I;Thailand;1996;10685
AF100464;Dengue Serotype 2;Genotype V - Asian I;Thailand;1996;10685
AF100465;Dengue Serotype 2;Genotype I - American;Venezuela;1987;10674
AF100466;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1990;10682
AF100467;Dengue Serotype 2;Genotype I - American;Peru;1995;10674
AF100468;Dengue Serotype 2;Genotype I - American;Peru;1996;10674
AF100469;Dengue Serotype 2;Genotype I - American;Mexico;1992;10674
AF119661;Dengue Serotype 2;Genotype III - Southern Asian-American;China;1985;10723
AF134980;Dengue Serotype 2;Could not assign;India;1996;420
AF135599;Dengue Serotype 2;Could not assign;India;1996;403
AF162448;Dengue Serotype 2;Could not assign;Peru;1940;419
AF169678;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169679;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169680;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169681;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169682;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169683;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169684;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169685;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169686;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169687;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF169688;Dengue Serotype 2;Genotype V - Asian I;Thailand;1993;10723
AF177541;Dengue Serotype 2;Genotype IV - Asian II;Philippines;1995;454
AF195032;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;1485
AF195033;Dengue Serotype 2;Genotype V - Asian I;Thailand;1984;1485
AF195034;Dengue Serotype 2;Genotype V - Asian I;Thailand;1983;1485
AF195035;Dengue Serotype 2;Genotype V - Asian I;Thailand;1983;1485
AF195036;Dengue Serotype 2;Genotype V - Asian I;Thailand;1940;1485
AF195037;Dengue Serotype 2;Genotype V - Asian I;Thailand;1940;1485
AF195038;Dengue Serotype 2;Genotype V - Asian I;Thailand;1940;1485
AF195039;Dengue Serotype 2;Genotype V - Asian I;Thailand;1940;1485
AF195040;Dengue Serotype 2;Genotype III - Southern Asian-American;Thailand;1940;1485
AF195041;Dengue Serotype 2;Genotype III - Southern Asian-American;Thailand;1940;1485
AF195042;Dengue Serotype 2;Genotype III - Southern Asian-American;Thailand;1940;1485
AF195043;Dengue Serotype 2;Genotype III - Southern Asian-American;Thailand;1940;1485
AF202323;Dengue Serotype 2;Could not assign;China;1940;413
AF202324;Dengue Serotype 2;Could not assign;China;1940;413
AF204177;Dengue Serotype 2;Genotype IV - Asian II;China;1989;10723
AF204178;Dengue Serotype 2;Genotype IV - Asian II;China;1987;10723
AF208496;Dengue Serotype 2;Genotype III - Southern Asian-American;Martinique;1998;10722
AF231715;Dengue Serotype 2;Genotype II - Cosmopolitan;Malaysia;1969;1485
AF231716;Dengue Serotype 2;Genotype II - Cosmopolitan;Malaysia;1969;1485
AF231718;Dengue Serotype 2;Genotype VI - Sylvatic;USA;1980;1485
AF231719;Dengue Serotype 2;Genotype VI - Sylvatic;Guinea;1981;1485
AF231720;Dengue Serotype 2;Genotype VI - Sylvatic;Senegal;1970;1485
AF264053;Dengue Serotype 2;Genotype V - Asian I;Thailand;1980;1485
AF264054;Dengue Serotype 2;Genotype I - American;Puerto Rico;1969;1485
AF276619;Dengue Serotype 2;Genotype II - Cosmopolitan;China;1940;10723
AF295694;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF295695;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF295696;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF295697;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF295698;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF295699;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF295700;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF297004;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF297005;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF297006;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF297007;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF297008;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF297009;Dengue Serotype 2;Could not assign;Philippines;1940;1485
AF308865;Dengue Serotype 2;Could not assign;Peru;2000;481
AF360860;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;840
AF360861;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;840
AF360862;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;840
AF360863;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;840
AF363069;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363070;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363071;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363072;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363073;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363074;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363075;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363076;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363077;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363078;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363079;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363080;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363081;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363082;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363083;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363084;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363085;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1997;1485
AF363086;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363087;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363088;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363089;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363090;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363091;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF363092;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF378163;Dengue Serotype 2;Genotype I - American;Peru;2000;538
AF378164;Dengue Serotype 2;Could not assign;Peru;2000;352
AF378165;Dengue Serotype 2;Could not assign;Peru;2000;481
AF378166;Dengue Serotype 2;Genotype III - Southern Asian-American;Peru;2000;539
AF378167;Dengue Serotype 2;Genotype III - Southern Asian-American;Peru;2000;544
AF398106;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1998;1485
AF398107;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1999;1485
AF398108;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1999;1485
AF398109;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1999;1485
AF398110;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2000;1485
AF398111;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2000;1485
AF398112;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2000;1485
AF398113;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2000;1485
AF398114;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2000;1485
AF410345;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410346;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410347;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410349;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410350;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410351;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410352;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410353;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410354;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410355;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410356;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410357;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410359;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410360;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410366;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410367;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;1940;1485
AF410368;Dengue Serotype 2;Genotype II - Cosmopolitan;Singapore;1940;1485
AF410370;Dengue Serotype 2;Genotype II - Cosmopolitan;Australia;1940;1485
AF410371;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1940;1485
AF410372;Dengue Serotype 2;Genotype II - Cosmopolitan;Sri Lanka;1940;1485
AF410373;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1940;1485
AF410374;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1940;1485
AF410375;Dengue Serotype 2;Genotype II - Cosmopolitan;Uganda;1940;1485
AF410377;Dengue Serotype 2;Genotype II - Cosmopolitan;Thailand;1940;1485
AF410378;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;1940;1485
AF410379;Dengue Serotype 2;Genotype II - Cosmopolitan;Singapore;1940;1485
AF435475;Dengue Serotype 2;Could not assign;Taiwan;1995;266
AF435476;Dengue Serotype 2;Could not assign;Taiwan;1995;266
AF435483;Dengue Serotype 2;Could not assign;Taiwan;1989;266
AF435487;Dengue Serotype 2;Could not assign;Taiwan;1997;266
AF435496;Dengue Serotype 2;Could not assign;Taiwan;1998;266
AF435499;Dengue Serotype 2;Could not assign;Taiwan;1988;266
AF455276;Dengue Serotype 2;Genotype III - Southern Asian-American;China;1989;1464
AF457574;Dengue Serotype 2;Genotype III - Southern Asian-American;China;1989;1056
AF459609;Dengue Serotype 2;Could not assign;Mexico;1983;357
AF459610;Dengue Serotype 2;Could not assign;Mexico;1984;357
AF459611;Dengue Serotype 2;Could not assign;Mexico;1994;357
AF459612;Dengue Serotype 2;Could not assign;Mexico;1984;357
AF459613;Dengue Serotype 2;Could not assign;Mexico;1992;357
AF459614;Dengue Serotype 2;Could not assign;Mexico;1996;357
AF469175;Dengue Serotype 2;Genotype II - Cosmopolitan;China;1940;2325
AF469176;Dengue Serotype 2;Genotype V - Asian I;China;1940;2325
AF509530;Dengue Serotype 2;Genotype II - Cosmopolitan;China;1940;2325
AJ421524;Dengue Serotype 2;Genotype III - Southern Asian-American;China;1940;1464
AJ487271;Dengue Serotype 2;Genotype V - Asian I;Thailand;1974;10597
AJ968413;Dengue Serotype 2;Genotype IV - Asian II;Taiwan;1940;10723
AM746221;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;2004;1485
AM746222;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;2004;1485
AM746223;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;1994;1485
AM746224;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;1994;1485
AM746225;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;1994;1485
AM746226;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;1994;1485
AM746227;Dengue Serotype 2;Genotype II - Cosmopolitan;Saudi Arabia;1994;1485
AY037116;Dengue Serotype 2;Genotype II - Cosmopolitan;Australia;1993;10723
AY044442;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1990;2325
AY079423;Dengue Serotype 2;Genotype III - Southern Asian-American;Peru;1940;1485
AY079424;Dengue Serotype 2;Genotype III - Southern Asian-American;Peru;1940;1485
AY158327;Dengue Serotype 2;Genotype I - American;Trinidad and Tobago;1978;1485
AY158328;Dengue Serotype 2;Genotype I - American;Venezuela;1987;1485
AY158329;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1990;1485
AY158330;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1991;1485
AY158331;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;1992;1485
AY158332;Dengue Serotype 2;Genotype I - American;Mexico;1992;1485
AY158333;Dengue Serotype 2;Genotype I - American;Mexico;1992;1485
AY158334;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;1485
AY158335;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;1485
AY158336;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;1485
AY158337;Dengue Serotype 2;Genotype V - Asian I;Thailand;1995;1485
AY158338;Dengue Serotype 2;Genotype I - American;Mexico;1995;1485
AY158339;Dengue Serotype 2;Genotype I - American;Peru;1996;1485
AY158340;Dengue Serotype 2;Genotype III - Southern Asian-American;Bolivia;1998;1485
AY158341;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2000;1485
AY159256;Dengue Serotype 2;Could not assign;Brazil;1940;420
AY167440;Dengue Serotype 2;Genotype I - American;Brazil;1940;2843
AY277402;Dengue Serotype 2;Could not assign;China;1940;413
AY278226;Dengue Serotype 2;Could not assign;China;1940;477
AY324614;Dengue Serotype 2;Could not assign;India;2001;400
AY324615;Dengue Serotype 2;Could not assign;India;2001;400
AY324616;Dengue Serotype 2;Could not assign;India;2001;400
AY324617;Dengue Serotype 2;Could not assign;India;2001;400
AY324618;Dengue Serotype 2;Could not assign;India;2001;400
AY324619;Dengue Serotype 2;Could not assign;India;2001;400
AY324620;Dengue Serotype 2;Could not assign;India;2001;400
AY324621;Dengue Serotype 2;Could not assign;India;2001;400
AY324622;Dengue Serotype 2;Could not assign;India;2001;400
AY324623;Dengue Serotype 2;Could not assign;India;2001;400
AY324624;Dengue Serotype 2;Could not assign;India;2001;400
AY359463;Dengue Serotype 2;Genotype II - Cosmopolitan;Singapore;1940;1485
AY422469;Dengue Serotype 2;Genotype II - Cosmopolitan;East Timor;2000;1056
AY449675;Dengue Serotype 2;Genotype I - American;Mexico;1984;1983
AY449676;Dengue Serotype 2;Genotype I - American;Mexico;1994;1983
AY449677;Dengue Serotype 2;Genotype II - Cosmopolitan;Mexico;1996;1983
AY449678;Dengue Serotype 2;Could not assign;Mexico;1997;1983
AY449679;Dengue Serotype 2;Could not assign;Mexico;1997;1983
AY449680;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2001;1983
AY449681;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2001;1983
AY449682;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2001;1983
AY449683;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2002;1983
AY449684;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2002;1983
AY449685;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2002;1983
AY466449;Dengue Serotype 2;Genotype I - American;Mexico;1994;1983
AY484598;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1991;1485
AY484599;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1998;1485
AY484600;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1994;1485
AY484601;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1986;1485
AY484602;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1998;1485
AY484603;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1988;1485
AY484604;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1986;1485
AY484605;Dengue Serotype 2;Genotype III - Southern Asian-American;Jamaica;1983;1485
AY484606;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1994;1485
AY484607;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1988;1485
AY484608;Dengue Serotype 2;Genotype III - Southern Asian-American;Puerto Rico;1991;1485
AY484609;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;1993;1404
AY484610;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;1993;1404
AY484611;Dengue Serotype 2;Genotype III - Southern Asian-American;Bolivia;1997;1404
AY484612;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;1999;1404
AY484613;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;1993;1404
AY484614;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;1999;1404
AY484615;Dengue Serotype 2;Genotype III - Southern Asian-American;Trinidad and Tobago;1997;1404
AY484616;Dengue Serotype 2;Genotype III - Southern Asian-American;Saint Lucia;1999;1404
AY484617;Dengue Serotype 2;Genotype III - Southern Asian-American;Saint Lucia;1999;1404
AY484618;Dengue Serotype 2;Genotype III - Southern Asian-American;Trinidad and Tobago;1997;1404
AY484619;Dengue Serotype 2;Genotype III - Southern Asian-American;Aruba;1996;1404
AY484620;Dengue Serotype 2;Genotype III - Southern Asian-American;Barbados;1998;1404
AY484621;Dengue Serotype 2;Genotype III - Southern Asian-American;Saint Lucia;1999;1404
AY484622;Dengue Serotype 2;Genotype III - Southern Asian-American;Netherlands Antilles;1996;1404
AY484623;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;1404
AY484624;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominica;1995;1404
AY484625;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominican Republic;1984;1404
AY484626;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominican Republic;1990;1404
AY484627;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominica;1995;1404
AY484628;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;1404
AY484629;Dengue Serotype 2;Genotype III - Southern Asian-American;Grenada;1999;1404
AY484630;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;1404
AY484631;Dengue Serotype 2;Genotype III - Southern Asian-American;Saint Lucia;1999;1404
AY484632;Dengue Serotype 2;Genotype III - Southern Asian-American;Trinidad and Tobago;2000;1404
AY484633;Dengue Serotype 2;Genotype III - Southern Asian-American;Trinidad and Tobago;1997;1404
